title;url;source_kind;accessed;rated_mAh;model;status;publication_date;date;DCIR_mOhm;dc1_mOhm;dc2_mOhm;estimated_CDR_A;rated_TL_A;note;sample1_mAh;sample2_mAh
Bench Test Results: Great Power 60Q - 60A/110A 6000mAh 21700;https://www.e-cigarette-forum.com/threads/bench-test-results-great-power-60q-60a-110a-6000mah-21700.995238/;Форум;2026-09-21;6000;Great Power 60Q;Текст статьи прочитан;2026-09-03T05:32:41+0100;2026-09-03;5.08;5.2;4.96;35;110;"CCC, июль 2026. При 40 А до 2.5 В около 77 °C против предела 75 °C; Mooch рекомендует ≤35 А. 110 А с отсечкой 80 °C — иной режим. E-Scores в доступном тексте отсутствуют.";6040;6018
Bench Test Results: Tenpower 50SG - 20A/50A 5000mAh 21700;https://www.e-cigarette-forum.com/threads/bench-test-results-tenpower-50sg-20a-50a-5000mah-21700.995125/;Форум;2026-09-21;5000;Tenpower 50SG;Текст статьи прочитан;2026-08-22T01:02:30+0100;2026-08-22;11.255;11.22;11.29;;;pre-production;;
Bench Test Results: Molicel P50B - 60A 5000mAh 21700;https://www.e-cigarette-forum.com/threads/bench-test-results-molicel-p50b-60a-5000mah-21700.986092/;Форум;2026-09-21;5000;Molicel P50B;Текст статьи прочитан;2024-07-30T18:12:58+0100;2024-07-30;9.45;9.52;9.46;;;;;
Bench Retest Results: Reliance RS50 - 70A 4950mAh full-tab 21700;https://www.e-cigarette-forum.com/threads/bench-retest-results-reliance-rs50-70a-4950mah-full-tab-21700.994194/;Форум;2026-09-21;4950;Reliance RS50;Текст статьи прочитан;2026-05-21T00:21:22+0100;2026-05-21;5.56;5.56;5.56;;;pre-production;;
Bench Test Results: BAK 50D2 - 60A 4950mAh full-tab 21700;https://www.e-cigarette-forum.com/threads/bench-test-results-bak-50d2-60a-4950mah-full-tab-21700.994042/;Форум;2026-09-21;4950;BAK 50D2;Текст статьи прочитан;2026-05-07T19:51:52+0100;2026-05-07;5.12;5.12;5.12;;;pre-production;;
Bench Test Results: FEB 21700G (68E) - 13A 6500mAh 21700;https://www.e-cigarette-forum.com/threads/bench-test-results-feb-21700g-68e-13a-6500mah-21700.993807/;Форум;2026-09-21;6500;FEB 21700G (68E);Текст статьи прочитан;2026-04-11T16:53:57+0100;2026-04-11;19.9;19.96;19.84;;;pre-production;;
Bench Test Results: EVE 50PL - 50A 5000mAh 21700 (with CCC logo and CE mark);https://www.e-cigarette-forum.com/threads/bench-test-results-eve-50pl-50a-5000mah-21700-with-ccc-logo-and-ce-mark.992920/;Форум;2026-09-21;5000;EVE 50PL;Текст статьи прочитан;2026-01-14T05:17:21+0000;2026-01-14;;;;;;pre-production;;
Bench Retest Results: EVE 50E (CCC logo) - 15A 5000mAh 21700;https://www.e-cigarette-forum.com/threads/bench-retest-results-eve-50e-ccc-logo-15a-5000mah-21700.992147/;Форум;2026-09-21;5000;EVE 50E (CCC logo);Текст статьи прочитан;2025-11-01T05:31:02+0000;2025-11-01;25.35;25.2;25.5;;;;;
Bench Test Results: Reliance RS50 - 70A 4950mAh 21700 pre-production samples;https://www.e-cigarette-forum.com/threads/bench-test-results-reliance-rs50-70a-4950mah-21700-pre-production-samples.991482/;Форум;2026-09-21;4950;Reliance RS50 (pre-production);Текст статьи прочитан;2025-08-24T16:39:18+0100;2025-08-24;5.3;5.0;5.3;40;70;"Предсерия. DCIR — диапазон четырёх образцов; ёмкость двух образцов. 70 А ограничены 80 °C. Не объединять с серийной CCC и G3E.";5169;5173
Bench Test Results: Samsung 50S2 - 25A/45A 5000mAh 21700;https://www.e-cigarette-forum.com/threads/bench-test-results-samsung-50s2-25a-45a-5000mah-21700.988832/;Форум;2026-09-21;5000;Samsung 50S2;Текст статьи прочитан;2025-02-07T20:59:16+0000;2025-02-07;13.35;12.9;13.8;25;45;"Обновлённая версия 50S. При 5 и 25 А работала немного дольше и на 4–7 °C холоднее исходной 50S; разница времени заметна главным образом ниже 3,0–3,1 В. 45 А допускаются только до 80 °C. Mooch отметил различия между партиями и необходимость входного контроля. Не объединять с Samsung 50S.";5111;5143
Bench Test Results: Samsung 50S - 25A 5000mAh 21700;https://www.e-cigarette-forum.com/threads/bench-test-results-samsung-50s-25a-5000mah-21700.975569/;Форум;2026-09-21;5000;Samsung 50S;Текст статьи прочитан;;2022-08-11;;;;20;45;Паспортная версия 50S рассчитана на 25 А continuous и 45 А только до 80 °C. В повторном тесте оба образца превысили 85 °C при 25 А до 2,5 В, поэтому Mooch рекомендует не более 20 А непрерывно. Отдельный источник 18650pro оценивает сопротивление примерно в 10 мОм. На графике до 2,8 В максимумы температуры составили 41/51/63/73/85/95 °C при 5/10/15/20/25/30 А. Не объединять с Samsung 50S2.;5049;5071
